document_id,cleaned_text,Sentiment
1,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co twyj zodss,Neutral
2,b so today massachusetts finalized rest wuhancoronavirus vaccination timeline and yet still de\xe \x \xa http co lwulsrpm w,Positive
3,b and shall forever wuhancoronavirus http co ipcmob cvw,Neutral
4,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co sh q zjq,Neutral
5,b state department lead investigator say flumanchu may escaped lab \n\nhttps co eotcqetzj \n\nvia\xe \x \xa http co m q uqffjt,Negative
6,b tedros you fired \n\xe \x c\x \xe \xac\x \nhttps co nkacos ld \n\ncoronaviruschina pndahugger\ncoronachan coronachan \xe \x \xb \xe \x \xad\xe \x \x a\xe \x \xa \xe \x \x \xe \x \x \xe \x \xa http co m cyhc,Neutral
7,b aymanm timobrien calling china virus problem asian hate problem don\xe \x \x mix \ni asia\xe \x \xa http co lb ig s u,Negative
8,b calling china virus problem asian hate problem don\xe \x \x mix \ni asian and i call it\xe \x \xa http co i qjhycep,Negative
9,b timobrien calling china virus problem asian hate problem don\xe \x \x mix \ni asian and i\xe \x \xa http co e z vlwdr,Neutral
10,b mmpadellan ok the\nwuhancoronavirus\nwuflu\nkungflu\nwuhanchinesecoronavirus,Negative
11,b gordongchang not hong kong world \n\nccpchina held accountable \n\n hongkong \n \xe \x \xa http co okaq boanq,Neutral
12,b trump accomplishment term \n\nadd nobel peace prize nomination actual accomplishment incl promot\xe \x \xa http co ia swlzq,Neutral
13,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co wiyoh,Neutral
14,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co s kn bav,Neutral
15,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co ycl ygfjpr,Neutral
16,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co bn ruk gz,Neutral
17,b tedros you fired \n\xe \x c\x \xe \xac\x \nhttps co nkacos ld \ncoronaviruschina pndahugger\ncoronachan coronachan \xe \x \xb \xe \x \xad\xe \x \x a\xe \x \xa \xe \x \x \xe \x \x \xe \x \xa http co yjelptq br,Neutral
18,b globaltimesnews covid impact thanks dirty wet market wuhan\n\nwuhanvirus wuhancoronavirus china\xe \x \xa http co az twho,Neutral
19,b sharpiedj michaelpsenger he forgot infected ccpvirus wuhancoronavirus past,Neutral
20,b india \xf \x f\x \xae\xf \x f\x \xb example supplying vaccine country \nwuhancoronavirus pandemic destroyed world \xf \x f\x c\x \n we\xe \x \xa http co qm wicxtwf,Neutral
21,b mattwridley wuhancoronavirus spread world thanks who help ccp ccp concealmen\xe \x \xa http co ylwjc goz,Positive
22,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co xzxxm hul,Neutral
23,b state allow type diabetic get vaccinated stage why massachusetts massgovernor charliebakerma\xe \x \xa http co gbq rgaf,Neutral
24,b ianmsc because wuhancoronavirus already halloween but virus fundamentalist want hear,Neutral
25,b min investigation thelizhayes now wuhancoronavirus spread world thanks who he\xe \x \xa http co rkvsuq,Positive
26,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme\xe \x \xa http co pfclhsnw,Neutral
27,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme\xe \x \xa http co soyi vvhlr,Neutral
28,b globaltimesnews pakistan citizen known guinea pig chinese experiment this time poor quality\xe \x \xa http co ofx cixfxr,Negative
29,b hotmanila william saunders slightly behind wuhancoronavirus w k da poon hand still waaaay ahead k amp still rising,Negative
30,b china asean to fair china allow foreigner contracted wuhancoronavirus enter prc,Negative
31,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co n rptyzu,Neutral
32,b thisisgba china could simplify visa policy foreigner applying enter chinese mainland via hk ha\xe \x \xa http co fsiqevb xz,Negative
33,b snowflakstears i still waiting extra week spring break deborah birx it two we\xe \x \xa http co pe ozddfcu,Neutral
34,b globaltimesnews who wuhan epicentre coronavirus covid \n\nchinavirus wuhanvirus\xe \x \xa http co oftefquuq,Neutral
35,b repbrianmast wuhancoronavirus spread world thanks who help ccp ccp concealme\xe \x \xa http co zxvuzqhuho,Neutral
36,b tedros you fired \n\xe \x c\x \xe \xac\x \nhttps co nkacos ld \n\ncoronaviruschina pndahugger\ncoronachan coronachan \xe \x \xb \xe \x \xad\xe \x \x a\xe \x \xa \xe \x \x \xe \x \x \xe \x \xa http co g z scy w,Neutral
37,b catcarterpi it wuhancoronavirus,Neutral
38,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co mln jjg,Neutral
39,b carolynhparrish amazon amazonca every right fight shutdown order irresponsible canadian politic\xe \x \xa http co bx nzui,Negative
40,b globaltimesnews lmao\n\nno amount glossing going change history book wuhan epice\xe \x \xa http co hvgeoa hk,Neutral
41,b so say person whose country spreader wuhancoronavirus chinesevirus ccpvirus http co jtkwhz huz,Neutral
42,b sankeinews why japan could hold olympics probably it pandemic caused b\xe \x \xa http co lkahp xthq,Neutral
43,b amazon amazonca \n\ncanadian authority shut warehouse brampton ontario citing spread of\xe \x \xa http co ldynufik,Neutral
44,b jillpromoli allowing march meeting brampton also contributes wuhancoronavirus situation \n\nhttps co fekq i h,Neutral
45,b tedros you fired \n\xe \x c\x \xe \xac\x \nhttps co nkacos ld \ncoronaviruschina pndahugger\ncoronachan coronachan \xe \x \xb \xe \x \xad\xe \x \x a\xe \x \xa \xe \x \x \xe \x \x \xe \x \xa http co jwftcftovl,Neutral
46,b couldn agree just thing started getting normal covidiots messed refusing wearamask amp m\xe \x \xa http co fsqjrijq x,Negative
47,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co ijpm gxtym,Neutral
48,b beermug k besides pervert throwing sick old people nursing home height wuhancoronavirus much \xf \x f\xa \xb \xe \x \x d\xe \x \x \xef\xb \x f,Negative
49,b gordongchang ssilovehk wuhancoronavirus good example \nccpisterrorist\nhumanrightsviolations \nboycottbeijing,Neutral
50,b alphacentauriii don forget who ccp \nccpisterrorist\nhumanrightsviolations \nwuhancoronavirus\nboycottbeijing,Neutral
51,b mikepompeo ssilovehk wuhancoronavirus spread world thanks who help ccp ccp\xe \x \xa http co brkppqcqop,Neutral
52,b houseforeigngop who wuhancoronavirus spread world thanks who help ccp ccp co\xe \x \xa http co nl zqoxpvh,Neutral
53,b senrickscott secblinken jakesullivan right ccp enemy democracy \nplease stop wall street help\xe \x \xa http co nqtcwfhrqo,Negative
54,b jenvanlaar this drive crazy virus fundamentalist \nthey focused wuhancoronavirus\xe \x \xa http co rkhe zvstr,Negative
55,b march pm edt real time mapping wuhancoronavirus ncov global case confirmed case and\xe \x \xa http co ibamyvkxzt,Neutral
56,b ferric memorial day weekend life return normal whether virus fundamentalist like i\xe \x \xa http co phe ebzqcz,Neutral
57,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co hz r zvdp,Neutral
58,b reeb matthew toneshyus xandesanctis varadmehta trump said fine lockdown come t\xe \x \xa http co ftjwhucint,Neutral
59,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co oqjfjxehyv,Neutral
60,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co hn esbaavp,Neutral
61,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co odjwc lrvv,Neutral
62,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co dnv u fqsp,Negative
63,b who drtedros thank reminding world who amp tedros failed take action stop wuhanvirus\xe \x \xa http co caxkaqxbot,Neutral
64,b good morning patriots\xc \xa \xf \x f\x \xba\xf \x f\x \xb \xc \xa it march th \xc \xa \xf \x f\x \xb \xc \xa u army mess cook private albert gitchell fort riley kansas\xe \x \xa http co nl zbgdmdz,Neutral
65,b \xe \x \x cb thought highly transmissible owing mutation part virus genome code spike\xe \x \xa http co kxeckrsgjo,Neutral
66,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co zg xrcpz,Neutral
67,b drlimengyan the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa \xe \x \xa http co hrftmst q,Neutral
68,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co cizqctsyrm,Neutral
69,b lawrencesellin the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa \xe \x \xa http co ha tgijdf,Neutral
70,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co ssdhqnayj,Neutral
71,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co ie tj v,Neutral
72,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co hzvbab lhn,Neutral
73,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co p qq cyxa,Neutral
74,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co aafteqiaz,Neutral
75,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co g rk is,Neutral
76,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co xsuiyyml,Neutral
77,b the truth covid \xef\xbc\x \n\xe \xb \xad\xe \x \xb \xe \x \x \xe \xaf\x \xe \xad\xa \xe \xb \x \xe \xae\x e\xe \xaa\x c\xe \xae\xa \n laborunfall sarscov sarscov virus pandemie\n\xe \x \xab\xe \xb \xbd\xe \xa \xa drlimengyan\n\xc \xa \xe \x \xa http co mixntrvhcv,Neutral
